goalkeeper,penalties_faced,total_expected_goals,actual_goals_conceded,gpaa
Jaime Manuel Penedo Cano,2,1.8047302795243922,2,-0.19526972047560776
Diego Mariño Villar,4,3.801530892609001,4,-0.198469107390999
Alexander Nübel,2,1.8007377374756866,2,-0.19926226252431345
Rob Elliot,1,0.8003491378276716,1,-0.1996508621723284
Hugo Lloris,12,9.796985298702978,10,-0.20301470129702182
Orestis Karnezis,3,2.7909382655952464,3,-0.20906173440475362
Kamaljit Singh,2,1.789413869211928,2,-0.2105861307880721
Shūichi Gonda,2,1.7833519935177664,2,-0.2166480064822336
José Manuel Reina Páez,1,0.7710335424548206,1,-0.2289664575451794
Hrithik Tiwari,1,0.7710335424548206,1,-0.2289664575451794
Stanley Bobo Nwabali,3,1.7699357118353034,2,-0.2300642881646966
Antonio Mirante,5,3.765085417303318,4,-0.23491458269668186
Yahia Fofana,1,0.7628443895561579,1,-0.23715561044384215
Pedro Gonzalez Contreras Cano,1,0.7628443895561579,1,-0.23715561044384215
Juan Carlos Martín Corral,3,1.7567305197131937,2,-0.24326948028680628
Roman Bürki,4,3.755390019259698,4,-0.24460998074030194
Ivane Carminio Francisco Urrubal,2,1.7537174096520531,2,-0.24628259034794686
Rafael Enrique Romo Pérez,2,1.7448887993144775,2,-0.2551112006855225
David Ospina Ramírez,2,1.7373944027549242,2,-0.2626055972450758
Marwin Hitz,4,2.727776899378239,3,-0.272223100621761
Shay Given,2,1.7273716333843638,2,-0.27262836661563616
Gorka Iraizoz Moreno,6,4.725263635881333,5,-0.27473636411866664
Jonas Lössl,4,1.7230689453929169,2,-0.2769310546070831
Norberto Murara Neto,3,2.719881752661952,3,-0.28011824733804813
Germán Darío Lux,4,2.71896645321707,3,-0.2810335467829299
Declan Rudd,4,3.7160175426750865,4,-0.28398245732491345
César Sánchez Domínguez,3,2.7141066835847267,3,-0.28589331641527327
Felix Wiedwald,2,1.70779914343865,2,-0.2922008565613501
Thibaut Courtois,2,1.7025413207468916,2,-0.2974586792531084
Aitor Fernández Abarisketa,1,0.6863251301772396,1,-0.3136748698227604
Lovre Kalinić,1,0.6765828657975033,1,-0.32341713420249674
Gianluigi Buffon,1,0.6682939490976941,1,-0.33170605090230587
Dudú Aouate,5,3.65619333733317,4,-0.34380666266683013
Glyn Oliver Myhill,2,1.6549287755301663,2,-0.34507122446983374
Kevin Trapp,4,2.6544955261411967,3,-0.34550447385880334
Ron-Robert Zieler,3,2.6540101046266065,3,-0.34598989537339353
Iago Herrerín Buisán,3,2.6345891903486645,3,-0.36541080965133554
Stefano Sorrentino,4,3.620539264841987,4,-0.37946073515801304
Wayne Hennessey,2,1.6195421921194137,2,-0.38045780788058625
Jan Oblak,5,3.616091147270985,4,-0.38390885272901487
Samir Handanovič,5,3.615613556361045,4,-0.384386443638955
Daniele Padelli,4,3.612466645152086,4,-0.38753335484791407
Tim Howard,4,3.579267016751042,4,-0.4207329832489579
David de Gea Quintana,2,1.5787710321678499,2,-0.42122896783215014
Víctor Valdés Arribas,7,5.576148701396726,6,-0.42385129860327364
